"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Cmp%","Yds...14","TD","Sk","Yds...17","Int","Rate"
"85",85,"ARI",2022-09-25,25,"Sun",3,3,NA,"LAR","L 12-20",18,25,72,239,0,1,10,0,101.9
"86",86,"TAM",2022-09-25,35,"Sun",3,3,NA,"GNB","L 12-14",27,35,77.1,248,2,1,7,1,103
"87",87,"DEN",2022-09-25,29,"Sun",3,3,NA,"SFO","W 11-10",18,29,62.1,179,1,4,32,1,76.7
"88",88,"NWE",2022-09-25,29,"Sun",3,3,NA,"BAL","L 26-37",18,29,62.1,206,4,4,12,1,108.6
"89",89,"DET",2022-09-25,41,"Sun",3,3,"@","MIN","L 24-28",24,41,58.5,250,2,1,10,0,92.5
"90",90,"NYJ",2022-09-25,36,"Sun",3,3,NA,"CIN","L 12-27",23,36,63.9,261,3,2,14,0,113.3
"91",91,"GNB",2022-09-25,42,"Sun",3,3,"@","TAM","W 14-12",31,42,73.8,251,1,3,20,0,96.4
"92",92,"SEA",2022-09-25,20,"Sun",3,3,NA,"ATL","L 23-27",13,20,65,207,1,3,22,1,95.2
"93",93,"TEN",2022-09-25,45,"Sun",3,3,NA,"LVR","W 24-22",27,45,60,300,2,1,7,1,85.4
"94",94,"SFO",2022-09-25,33,"Sun",3,3,"@","DEN","L 10-11",20,33,60.6,160,0,4,24,0,72.8
"95",95,"DAL",2022-09-26,37,"Mon",3,3,"@","NYG","W 23-16",20,37,54.1,169,0,5,27,1,54.9
"96",96,"NYG",2022-09-26,31,"Mon",3,3,NA,"DAL","L 16-23",21,31,67.7,215,1,0,0,0,98.2
"97",97,"CIN",2022-09-29,37,"Thu",4,4,NA,"MIA","W 27-15",22,37,59.5,293,1,1,10,2,71.1
"98",98,"MIA",2022-09-29,32,"Thu",4,4,"@","CIN","L 15-27",21,32,65.6,304,2,1,6,0,117.2
"99",99,"ATL",2022-10-02,35,"Sun",4,4,NA,"CLE","W 23-20",21,35,60,226,0,1,8,1,67.1
"100",100,"PIT",2022-10-02,37,"Sun",4,4,NA,"NYJ","L 20-24",19,37,51.4,250,2,1,4,2,68.5
"101",101,"HOU",2022-10-02,39,"Sun",4,4,NA,"LAC","L 24-34",27,39,69.2,338,2,1,2,0,113
"102",102,"BUF",2022-10-02,29,"Sun",4,4,"@","BAL","W 23-20",20,29,69,134,1,2,10,2,61.6
"103",103,"NYG",2022-10-02,22,"Sun",4,4,NA,"CHI","W 20-12",11,22,50,155,0,6,19,0,73.1
"104",104,"SEA",2022-10-02,40,"Sun",4,4,"@","DET","W 48-45",27,40,67.5,375,4,1,9,1,120.3
"105",105,"CAR",2022-10-02,32,"Sun",4,4,NA,"ARI","L 16-26",23,32,71.9,206,2,1,1,1,96.6
"106",106,"WAS",2022-10-02,27,"Sun",4,4,"@","DAL","L 10-25",15,27,55.6,217,2,1,6,0,106.6
