"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Att...11","Yds","Y/A","TD"
"121",321,"CHI",2022-11-20,33,"Sun",11,11,"@","ATL","L 24-27",33,149,4.5,1
"122",322,"NYJ",2022-11-20,26,"Sun",10,11,"@","NWE","L 3-10",26,99,3.8,0
"123",323,"IND",2022-11-20,33,"Sun",11,11,NA,"PHI","L 16-17",33,141,4.3,1
"124",324,"WAS",2022-11-20,16,"Sun",11,11,"@","HOU","W 23-10",16,21,1.3,1
"125",325,"NYG",2022-11-20,37,"Sun",10,11,NA,"DET","L 18-31",37,160,4.3,4
"126",326,"KAN",2022-11-20,30,"Sun",10,11,"@","LAC","W 30-27",30,115,3.8,1
"127",327,"ARI",2022-11-21,28,"Mon",11,11,NA,"SFO","L 10-38",28,159,5.7,1
"128",328,"SFO",2022-11-21,24,"Mon",10,11,"@","ARI","W 38-10",24,67,2.8,1
"129",329,"DAL",2022-11-24,21,"Thu",11,12,NA,"NYG","W 28-20",21,90,4.3,1
"130",330,"BUF",2022-11-24,28,"Thu",11,12,"@","DET","W 28-25",28,96,3.4,1
"131",331,"DET",2022-11-24,29,"Thu",11,12,NA,"BUF","L 25-28",29,164,5.7,1
"132",332,"MIN",2022-11-24,13,"Thu",11,12,NA,"NWE","W 33-26",13,45,3.5,0
"133",333,"NWE",2022-11-24,27,"Thu",11,12,"@","MIN","L 26-33",27,57,2.1,0
"134",334,"NYG",2022-11-24,39,"Thu",11,12,"@","DAL","L 20-28",39,169,4.3,2
"135",335,"MIA",2022-11-27,14,"Sun",11,12,NA,"HOU","W 30-15",14,36,2.6,1
"136",336,"TEN",2022-11-27,28,"Sun",11,12,NA,"CIN","L 16-20",28,108,3.9,1
"137",337,"ARI",2022-11-27,13,"Sun",12,12,NA,"LAC","L 24-25",13,65,5,0
"138",338,"SFO",2022-11-27,22,"Sun",11,12,NA,"NOR","W 13-0",22,63,2.9,0
"139",339,"HOU",2022-11-27,26,"Sun",11,12,"@","MIA","L 15-30",26,66,2.5,1
"140",340,"CAR",2022-11-27,19,"Sun",12,12,NA,"DEN","W 23-10",19,121,6.4,0
"141",341,"DEN",2022-11-27,46,"Sun",11,12,"@","CAR","L 10-23",46,185,4,1
"142",342,"CLE",2022-11-27,20,"Sun",11,12,NA,"TAM","W 23-17 (OT)",20,96,4.8,0
"143",343,"TAM",2022-11-27,34,"Sun",11,12,"@","CLE","L 17-23 (OT)",34,189,5.6,2
"144",344,"LAR",2022-11-27,30,"Sun",11,12,"@","KAN","L 10-26",30,117,3.9,1
"145",345,"CIN",2022-11-27,21,"Sun",11,12,"@","TEN","W 20-16",21,63,3,0
"146",346,"GNB",2022-11-27,49,"Sun",12,12,"@","PHI","L 33-40",49,363,7.4,3
"147",347,"SEA",2022-11-27,40,"Sun",11,12,NA,"LVR","L 34-40 (OT)",40,283,7.1,2
"148",348,"BAL",2022-11-27,20,"Sun",11,12,"@","JAX","L 27-28",20,38,1.9,0
"149",349,"ATL",2022-11-27,37,"Sun",12,12,"@","WAS","L 13-19",37,176,4.8,0
"150",350,"NOR",2022-11-27,29,"Sun",12,12,"@","SFO","L 0-13",29,96,3.3,0
"151",351,"LVR",2022-11-27,23,"Sun",11,12,"@","SEA","W 40-34 (OT)",23,65,2.8,2
"152",352,"LAC",2022-11-27,34,"Sun",11,12,"@","ARI","W 25-24",34,181,5.3,1
"153",353,"PHI",2022-11-27,21,"Sun",11,12,NA,"GNB","W 40-33",21,106,5,1
"154",354,"CHI",2022-11-27,32,"Sun",12,12,"@","NYJ","L 10-31",32,158,4.9,1
"155",355,"NYJ",2022-11-27,29,"Sun",11,12,NA,"CHI","W 31-10",29,127,4.4,0
"156",356,"WAS",2022-11-27,29,"Sun",12,12,NA,"ATL","W 19-13",29,167,5.8,0
"157",357,"JAX",2022-11-27,35,"Sun",11,12,NA,"BAL","W 28-27",35,162,4.6,1
"158",358,"KAN",2022-11-27,28,"Sun",11,12,NA,"LAR","W 26-10",28,116,4.1,0
"159",359,"PIT",2022-11-28,25,"Mon",11,12,"@","IND","W 24-17",25,110,4.4,1
"160",360,"IND",2022-11-28,36,"Mon",12,12,NA,"PIT","L 17-24",36,172,4.8,2
"161",361,"BUF",2022-12-01,14,"Thu",12,13,"@","NWE","W 24-10",14,60,4.3,0
"162",362,"NWE",2022-12-01,37,"Thu",12,13,NA,"BUF","L 10-24",37,132,3.6,1
"163",363,"MIA",2022-12-04,34,"Sun",12,13,"@","SFO","L 17-33",34,121,3.6,0
"164",364,"DAL",2022-12-04,30,"Sun",12,13,NA,"IND","W 54-19",30,106,3.5,0
"165",365,"TEN",2022-12-04,24,"Sun",12,13,"@","PHI","L 10-35",24,67,2.8,2
"166",366,"SFO",2022-12-04,8,"Sun",12,13,NA,"MIA","W 33-17",8,33,4.1,0
"167",367,"HOU",2022-12-04,38,"Sun",12,13,NA,"CLE","L 14-27",38,174,4.6,0
"168",368,"DEN",2022-12-04,28,"Sun",12,13,"@","BAL","L 9-10",28,103,3.7,1
"169",369,"CLE",2022-12-04,22,"Sun",12,13,"@","HOU","W 27-14",22,82,3.7,0
"170",370,"DET",2022-12-04,19,"Sun",12,13,NA,"JAX","W 40-14",19,95,5,0
"171",371,"LAR",2022-12-04,22,"Sun",12,13,NA,"SEA","L 23-27",22,90,4.1,0
"172",372,"CIN",2022-12-04,25,"Sun",12,13,NA,"KAN","W 27-24",25,138,5.5,2
"173",373,"GNB",2022-12-04,25,"Sun",13,13,"@","CHI","W 28-19",25,155,6.2,2
"174",374,"SEA",2022-12-04,33,"Sun",12,13,"@","LAR","W 27-23",33,171,5.2,2
"175",375,"BAL",2022-12-04,28,"Sun",12,13,NA,"DEN","W 10-9",28,88,3.1,0
"176",376,"ATL",2022-12-04,37,"Sun",13,13,NA,"PIT","L 16-19",37,154,4.2,0
"177",377,"MIN",2022-12-04,24,"Sun",12,13,NA,"NYJ","W 27-22",24,120,5,1
"178",378,"LVR",2022-12-04,22,"Sun",12,13,NA,"LAC","W 27-20",22,72,3.3,0
"179",379,"LAC",2022-12-04,29,"Sun",12,13,"@","LVR","L 20-27",29,154,5.3,1
"180",380,"PIT",2022-12-04,28,"Sun",12,13,"@","ATL","W 19-16",28,146,5.2,0
"181",381,"PHI",2022-12-04,21,"Sun",12,13,NA,"TEN","W 35-10",21,87,4.1,0
"182",382,"CHI",2022-12-04,32,"Sun",13,13,NA,"GNB","L 19-28",32,175,5.5,2
"183",383,"NYJ",2022-12-04,29,"Sun",12,13,"@","MIN","L 22-27",29,128,4.4,2
"184",384,"IND",2022-12-04,34,"Sun",13,13,"@","DAL","L 19-54",34,220,6.5,4
"185",385,"WAS",2022-12-04,30,"Sun",13,13,"@","NYG","T 20-20 (OT)",30,134,4.5,1
"186",386,"NYG",2022-12-04,36,"Sun",12,13,NA,"WAS","T 20-20 (OT)",36,165,4.6,0
"187",387,"JAX",2022-12-04,31,"Sun",12,13,"@","DET","L 14-40",31,100,3.2,2
"188",388,"KAN",2022-12-04,34,"Sun",12,13,"@","CIN","L 24-27",34,152,4.5,1
"189",389,"TAM",2022-12-05,25,"Mon",12,13,NA,"NOR","W 17-16",25,66,2.6,0
"190",390,"NOR",2022-12-05,20,"Mon",13,13,"@","TAM","L 16-17",20,76,3.8,0
"191",391,"LAR",2022-12-08,38,"Thu",13,14,NA,"LVR","W 17-16",38,165,4.3,1
"192",392,"LVR",2022-12-08,22,"Thu",13,14,"@","LAR","L 16-17",22,71,3.2,1
"193",393,"MIA",2022-12-11,23,"Sun",13,14,"@","LAC","L 17-23",23,82,3.6,1
"194",394,"DAL",2022-12-11,37,"Sun",13,14,NA,"HOU","W 27-23",37,114,3.1,1
"195",395,"TEN",2022-12-11,25,"Sun",13,14,NA,"JAX","L 22-36",25,60,2.4,1
"196",396,"SFO",2022-12-11,19,"Sun",13,14,NA,"TAM","W 35-7",19,69,3.6,0
"197",397,"HOU",2022-12-11,31,"Sun",13,14,"@","DAL","L 23-27",31,127,4.1,2
"198",398,"CAR",2022-12-11,14,"Sun",13,14,"@","SEA","W 30-24",14,46,3.3,0
"199",399,"DEN",2022-12-11,23,"Sun",13,14,NA,"KAN","L 28-34",23,89,3.9,0
"200",400,"CLE",2022-12-11,26,"Sun",13,14,"@","CIN","L 10-23",26,136,5.2,1
"201",1,"BUF",2022-09-08,18,"Thu",1,1,"@","LAR","W 31-10",18,52,2.9,0
"202",2,"LAR",2022-09-08,25,"Thu",1,1,NA,"BUF","L 10-31",25,121,4.8,1
"203",3,"ATL",2022-09-11,19,"Sun",1,1,NA,"NOR","L 26-27",19,151,7.9,1
