"","Rk","Team","Date","Att...4","Day","G#","Week","...8","Opp","Result","Cmp","Att...12","Inc","Cmp%","Yds...15","TD","Int","TD%","Int%","Rate","Sk","Yds...22","Sk%","Y/A","NY/A","AY/A","ANY/A","Y/C"
"364",364,"CHI",2022-12-04,25,"Sun",13,13,NA,"GNB","L 19-28",20,25,5,80,254,0,2,0,8,75.7,0,0,0,10.2,10.16,6.56,6.56,12.7
"365",365,"CIN",2022-12-04,31,"Sun",12,13,NA,"KAN","W 27-24",25,31,6,80.6,279,2,0,6.5,0,126.6,1,7,3.13,9,8.72,10.29,9.97,11.2
"366",366,"CLE",2022-12-04,22,"Sun",12,13,"@","HOU","W 27-14",12,22,10,54.5,130,0,1,0,4.5,53.4,1,1,4.35,5.9,5.65,3.86,3.7,10.8
"367",367,"IND",2022-12-04,37,"Sun",13,13,"@","DAL","L 19-54",21,37,16,56.8,203,2,3,5.4,8.1,59.9,3,30,7.5,5.5,5.08,2.92,2.7,9.7
"368",368,"DAL",2022-12-04,30,"Sun",12,13,NA,"IND","W 54-19",20,30,10,66.7,165,3,1,10,3.3,100.7,1,5,3.23,5.5,5.32,6,5.81,8.3
"369",369,"DEN",2022-12-04,22,"Sun",12,13,"@","BAL","L 9-10",17,22,5,77.3,184,0,0,0,0,102.3,2,5,8.33,8.4,7.67,8.36,7.67,10.8
"370",370,"DET",2022-12-04,41,"Sun",12,13,NA,"JAX","W 40-14",31,41,10,75.6,337,2,0,4.9,0,115.9,2,3,4.65,8.2,7.84,9.2,8.77,10.9
"371",371,"GNB",2022-12-04,31,"Sun",13,13,"@","CHI","W 28-19",18,31,13,58.1,182,1,0,3.2,0,85.7,0,0,0,5.9,5.87,6.52,6.52,10.1
"372",372,"HOU",2022-12-04,39,"Sun",12,13,NA,"CLE","L 14-27",20,39,19,51.3,201,1,2,2.6,5.1,53.5,0,0,0,5.2,5.15,3.36,3.36,10.1
"373",373,"JAX",2022-12-04,34,"Sun",12,13,"@","DET","L 14-40",19,34,15,55.9,171,1,0,2.9,0,81.1,2,14,5.56,5,4.75,5.62,5.31,9
"374",374,"KAN",2022-12-04,27,"Sun",12,13,"@","CIN","L 24-27",16,27,11,59.3,211,1,0,3.7,0,98.2,2,12,6.9,7.8,7.28,8.56,7.97,13.2
"375",375,"MIA",2022-12-04,34,"Sun",12,13,"@","SFO","L 17-33",18,34,16,52.9,275,2,3,5.9,8.8,65.2,3,20,8.11,8.1,7.43,5.29,4.86,15.3
"376",376,"MIN",2022-12-04,35,"Sun",12,13,NA,"NYJ","W 27-22",21,35,14,60,159,1,0,2.9,0,82.2,2,14,5.41,4.5,4.3,5.11,4.84,7.6
"377",377,"NYG",2022-12-04,31,"Sun",12,13,NA,"WAS","T 20-20 (OT)",25,31,6,80.6,182,1,0,3.2,0,104.3,4,18,11.43,5.9,5.2,6.52,5.77,7.3
"378",378,"NYJ",2022-12-04,58,"Sun",12,13,"@","MIN","L 22-27",31,58,27,53.4,366,0,2,0,3.4,58.8,1,3,1.69,6.3,6.2,4.76,4.68,11.8
"379",379,"TEN",2022-12-04,26,"Sun",12,13,"@","PHI","L 10-35",16,26,10,61.5,122,1,0,3.8,0,91.3,6,35,18.75,4.7,3.81,5.46,4.44,7.6
"380",380,"PHI",2022-12-04,41,"Sun",12,13,NA,"TEN","W 35-10",30,41,11,73.2,386,3,0,7.3,0,127.2,2,5,4.65,9.4,8.98,10.88,10.37,12.9
"381",381,"PIT",2022-12-04,28,"Sun",12,13,"@","ATL","W 19-16",16,28,12,57.1,197,1,0,3.6,0,90.9,0,0,0,7,7.04,7.75,7.75,12.3
"382",382,"LVR",2022-12-04,30,"Sun",12,13,NA,"LAC","W 27-20",16,30,14,53.3,250,2,1,6.7,3.3,89.6,0,0,0,8.3,8.33,8.17,8.17,15.6
